Date,Open,High,Low,Close,Adj Close,Volume
27/05/2015,154.048355,154.817703,154.389801,154.622055,154.622055,12274859
28/05/2015,154.605118,155.339005,153.980087,154.996414,154.996414,9028922
29/05/2015,154.976166,155.080963,153.971909,155.076187,155.076187,9683432
30/05/2015,155.073578,155.074234,151.773178,152.622803,152.622803,9221401
31/05/2015,152.485443,152.561966,150.174683,150.598633,150.598633,9637422
01/06/2015,150.626755,151.843384,145.59906,146.748734,146.748734,17174972
02/06/2015,146.727661,147.839371,146.270554,147.266022,147.266022,13343116
03/06/2015,147.222321,148.319855,145.816238,147.408463,147.408463,11585459
04/06/2015,147.341904,147.57132,145.915985,146.053787,146.053787,9589231
05/06/2015,145.9431,148.136887,145.649673,147.316299,147.316299,11824819
06/06/2015,147.351013,147.818588,146.941055,147.753113,147.753113,7289783
07/06/2015,147.738037,148.129669,146.049194,146.046127,146.046127,8727082
08/06/2015,146.044815,149.546402,145.970795,148.940094,148.940094,15239163
09/06/2015,148.972031,150.881287,148.536331,148.896835,148.896835,18431450
10/06/2015,148.862381,148.409225,147.217194,147.643417,147.643417,10263147
11/06/2015,147.676971,148.927765,147.639236,148.072586,148.072586,9292851
12/06/2015,148.072586,148.551498,147.781784,147.822342,147.822342,9009962
13/06/2015,147.782486,149.538498,147.326141,149.377808,149.377808,8552063
14/06/2015,149.403519,150.956421,149.121994,150.053329,150.053329,7816692
15/06/2015,149.975586,152.566559,150.04306,151.848557,151.848557,12767440
16/06/2015,151.811356,161.04274,151.408783,160.459839,160.459839,26612944
17/06/2015,160.413788,163.278244,157.593353,157.326599,157.326599,27679646
18/06/2015,157.41748,158.578445,154.188721,156.825165,156.825165,19511399
19/06/2015,156.847839,158.205368,153.498932,154.014603,154.014603,15089598
20/06/2015,153.966751,154.784027,151.509262,154.396179,154.396179,12975758
21/06/2015,154.325653,154.403732,152.299454,153.713928,153.713928,6679836
22/06/2015,153.729675,156.661621,153.794083,156.095566,156.095566,11181507
23/06/2015,156.05574,156.809341,154.233063,155.276169,155.276169,9603190
24/06/2015,155.267273,155.225845,153.164993,153.164993,153.164993,11045596
25/06/2015,153.069473,155.15654,153.098724,154.246231,154.246231,10249094
26/06/2015,154.12236,154.780914,153.552216,154.692322,154.692322,8880104
27/06/2015,154.663742,159.610718,154.389404,159.389099,159.389099,13011113
28/06/2015,159.366867,159.504669,157.731888,158.767532,158.767532,9651619
29/06/2015,158.582626,163.523239,158.321762,163.464325,163.464325,22092649
30/06/2015,163.446533,170.409698,162.815521,167.775497,167.775497,28401658
01/07/2015,167.949615,169.017776,163.360794,165.750824,165.750824,17323463
02/07/2015,165.706589,167.626221,162.759232,163.631241,163.631241,13807354
03/07/2015,163.661346,164.729584,162.326309,164.581696,164.581696,12220738
04/07/2015,164.681213,167.869659,163.210266,167.503036,167.503036,10029149
05/07/2015,167.451035,176.247833,166.100159,174.886154,174.886154,28399858
06/07/2015,174.368408,177.572815,172.012604,172.499359,172.499359,31517568
07/07/2015,173.097595,174.05928,171.523315,172.213089,172.213089,18668391
08/07/2015,172.067535,177.669235,171.323212,176.246429,176.246429,24069382
09/07/2015,176.273758,176.967316,173.850159,175.198807,175.198807,26225808
10/07/2015,175.151947,190.15686,174.876068,183.506607,183.506607,64663446
11/07/2015,183.497589,192.274399,182.628021,188.801926,188.801926,26479806
12/07/2015,188.818039,202.508224,188.409027,200.442978,200.442978,36369204
13/07/2015,200.417175,200.55986,180.48233,188.738525,188.738525,40102042
14/07/2015,188.725601,190.264694,185.370239,183.894562,183.894562,18377175
15/07/2015,184.266251,187.618668,182.529739,182.977402,182.977402,17595928
16/07/2015,183.113754,186.261765,176.266403,178.159393,178.159393,31701326
17/07/2015,178.160675,179.655151,173.729477,179.056885,179.056885,17677729
18/07/2015,178.966553,181.014221,175.59906,176.128265,176.128265,16137301
19/07/2015,176.042419,176.620972,174.598282,175.404846,175.404846,9829155
20/07/2015,175.3311,179.213074,174.963135,179.213074,179.213074,14589452
21/07/2015,179.149475,180.288544,177.072784,177.350357,177.350357,14743586
22/07/2015,177.237198,178.093765,176.360077,177.581177,177.581177,12420600
23/07/2015,177.657425,178.105026,177.686417,177.935425,177.935425,11944888
24/07/2015,177.907059,186.542618,177.457291,185.865906,185.865906,23984139
25/07/2015,185.792389,187.448746,184.398468,186.136032,186.136032,13321856
26/07/2015,186.099304,188.943909,185.497101,188.574188,188.574188,10329424
27/07/2015,188.543915,191.273117,185.188766,188.716492,188.716492,19661932
28/07/2015,188.722275,190.599457,188.200241,188.662689,188.662689,16310137
29/07/2015,188.699219,188.720459,184.699081,185.670319,185.670319,15818811
30/07/2015,185.358078,186.037842,183.579758,184.413528,184.413528,13867324
31/07/2015,184.396881,185.20639,181.187195,182.175995,182.175995,15122624
01/08/2015,182.199036,182.356491,177.991684,180.224655,180.224655,12156800
02/08/2015,179.487366,181.094131,177.618561,180.954041,180.954041,11347291
03/08/2015,181.076965,183.182114,179.39505,180.424072,180.424072,13776929
04/08/2015,180.422791,183.444626,180.445938,183.254944,183.254944,14076522
05/08/2015,183.016571,183.755554,180.302338,180.693588,180.693588,12902564
06/08/2015,180.708984,180.732147,179.41806,179.622803,179.622803,12116899
07/08/2015,179.728546,181.248871,178.13974,180.435623,180.435623,27418393
08/08/2015,180.536957,180.656998,168.254272,168.439499,168.439499,37775411
09/08/2015,168.516296,172.315582,168.098083,171.186966,171.186966,15362996
10/08/2015,171.442032,172.568192,169.296631,169.716995,169.716995,13463004
11/08/2015,169.634872,173.535706,169.737122,173.535706,173.535706,16323663
12/08/2015,173.671768,173.9991,170.019852,170.677261,170.677261,17181649
13/08/2015,170.553604,170.475754,168.218246,169.184433,169.184433,17736882
14/08/2015,169.217758,171.025009,167.528183,169.839539,169.839539,17318417
15/08/2015,169.743011,170.47049,167.037003,167.200027,167.200027,12351275
16/08/2015,167.401398,167.768326,164.31694,165.232971,165.232971,18994566
17/08/2015,165.222107,166.446243,164.512772,165.581528,165.581528,13875417
18/08/2015,165.549423,165.624329,134.780029,134.780029,134.780029,26912202
19/08/2015,144.097443,151.515091,142.061096,144.568878,144.568878,38819642
20/08/2015,144.705994,151.612808,144.65065,150.057388,150.057388,20578296
21/08/2015,150.060562,150.421173,147.641922,148.180313,148.180313,14765084
22/08/2015,148.239563,149.701813,141.894867,146.791977,146.791977,14785536
23/08/2015,146.783051,148.266968,143.72731,145.60881,145.60881,11746394
24/08/2015,145.572433,145.589661,133.529816,133.596725,133.596725,37586125
25/08/2015,133.325714,144.263763,126.604706,141.197189,141.197189,38922714
26/08/2015,141.494751,148.718552,140.168045,145.913925,145.913925,20551786
27/08/2015,146.055435,148.402023,145.173935,145.868652,145.868652,14215977
28/08/2015,145.824524,152.799133,143.290955,150.345001,150.345001,20360340
29/08/2015,150.444412,151.531418,147.703201,149.295044,149.295044,11138002
30/08/2015,149.369766,150.781616,146.999542,148.420822,148.420822,12594952
31/08/2015,148.649841,151.150787,146.517273,149.776047,149.776047,13483528
